#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h35 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Période extraite : de 1990 à 2005
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
12321;47.6478;-2.4047;REF;1991;11.09;5;6.73;22.5;2;
12321;47.6478;-2.4047;REF;1992;11.05;3;8.28;18.52;1;
12321;47.6478;-2.4047;REF;1993;11.49;5;8.57;21.06;2;
12321;47.6478;-2.4047;REF;1994;10.82;7;8.97;26.94;5;
12321;47.6478;-2.4047;REF;1995;11.55;11;8.14;29.52;6;
12321;47.6478;-2.4047;REF;1996;11.9;5;5.53;20.46;2;
12321;47.6478;-2.4047;REF;1997;11.37;4;8.34;19.34;2;
12321;47.6478;-2.4047;REF;1998;11.46;5;8.79;20.33;2;
12321;47.6478;-2.4047;REF;1999;12.19;4;5.3;19.33;3;
12321;47.6478;-2.4047;REF;2000;12.34;14;6.67;30.95;9;
12321;47.6478;-2.4047;REF;2001;11.2;9;8.57;31.58;6;
12321;47.6478;-2.4047;REF;2002;11.6;7;8.77;21.57;1;
12321;47.6478;-2.4047;REF;2003;12.21;9;8.89;25.62;6;
12321;47.6478;-2.4047;REF;2004;12.31;9;9.51;29.05;7;
12321;47.6478;-2.4047;REF;2005;11.78;5;5.56;20.69;2;
12322;47.6521;-2.2984;REF;1990;12.25;10;9.68;33.07;6;
12322;47.6521;-2.2984;REF;1991;11.19;4;7.01;21.3;3;
12322;47.6521;-2.2984;REF;1992;11.15;3;7.7;18.08;1;
12322;47.6521;-2.2984;REF;1993;11.56;4;9.23;19.47;2;
12322;47.6521;-2.2984;REF;1994;10.93;8;8.31;26.52;4;
12322;47.6521;-2.2984;REF;1995;11.64;11;8.29;29.11;8;
12322;47.6521;-2.2984;REF;1996;11.98;6;5.01;21.22;2;
12322;47.6521;-2.2984;REF;1997;11.44;4;7.85;19.47;1;
12322;47.6521;-2.2984;REF;1998;11.52;4;8.33;20.75;2;
12322;47.6521;-2.2984;REF;1999;12.25;5;5.97;22.04;3;
12322;47.6521;-2.2984;REF;2000;12.39;14;7.25;35.15;11;
12322;47.6521;-2.2984;REF;2001;11.29;7;9.26;28.39;7;
12322;47.6521;-2.2984;REF;2002;11.69;6;8.69;22.71;1;
12322;47.6521;-2.2984;REF;2003;12.27;11;9.35;24.72;4;
12322;47.6521;-2.2984;REF;2004;12.39;8;9.39;27.96;6;
12322;47.6521;-2.2984;REF;2005;11.9;5;5.69;20.54;2;
12323;47.6563;-2.1921;REF;1990;12.36;10;9.56;32.87;6;
12323;47.6563;-2.1921;REF;1991;11.29;4;6.91;21.15;3;
12323;47.6563;-2.1921;REF;1992;11.26;3;7.65;17.96;1;
12323;47.6563;-2.1921;REF;1993;11.66;4;9.17;19.34;2;
12323;47.6563;-2.1921;REF;1994;11.03;8;8.29;26.34;4;
12323;47.6563;-2.1921;REF;1995;11.75;11;8.23;28.92;8;
12323;47.6563;-2.1921;REF;1996;12.09;6;4.98;21.11;2;
